,vgg16,,,vgg16_fc,,,vgg11,,
,Hodgkin,other,f_score,Hodgkin,other,f_score,Hodgkin,other,f_score
Cross_Entropy,0.190,0.965,0.317,0.121,0.948,0.215,0.081,0.987,0.150
CE-invarse,0.713,0.670,0.691,0.496,0.763,0.601,0.498,0.628,0.555
LDAM-0.1,0.267,0.970,0.419,0.088,0.968,0.161,0.302,0.945,0.458
LDAM-0.3,0.139,0.987,0.244,0.124,0.959,0.220,0.095,0.960,0.173
LDAM-0.5,0.128,0.978,0.226,0.121,0.958,0.215,0.124,0.962,0.220
,,,,,,,,,
add,Hodgkin,other,f_score,Hodgkin,other,f_score,Hodgkin,other,f_score
Cross_Entropy,,,,,,,,,
CE-invarse,0.650,0.762,0.702,,,,0.677,0.801,0.734
LDAM-0.1,0.561,0.852,0.677,,,,0.328,0.926,0.484
LDAM-0.3,0.564,0.900,0.693,,,,0.514,0.909,0.657
LDAM-0.5,0.667,0.837,0.742,,,,0.545,0.870,0.670
